Comment Date,Comment
"Mar 30, 2023, 7:29:37 PM",I love running on Emma!
"Apr 2, 2023, 8:20:04 PM","spread the word around
guess who’s back in town!!!"
"Apr 13, 2023, 2:15:20 AM",prepping for a race in the Davis Mtns!
"Apr 17, 2023, 3:24:53 PM",All good!! Legs feel fine today. Now just need to work on adding elevation to that
"Jun 6, 2023, 1:42:50 AM",he says PUKEMOOOOOON
"Jun 6, 2023, 5:56:13 PM",🤩
"Jun 7, 2023, 4:54:16 PM",🔥🔥🔥
"Jun 18, 2023, 7:00:27 PM",Wow!!!
"Jun 29, 2023, 2:33:03 PM","Charles River, Coal Creek, what’s the difference"
"Jul 4, 2023, 1:19:46 PM",ELITE division
"Jul 4, 2023, 1:21:10 PM",lol zack bassett would be proud
"Jul 12, 2023, 2:26:24 PM",🫂
"Jul 14, 2023, 4:50:09 PM",Go jackets!!
"Jul 29, 2023, 5:46:27 AM",see ya l8r boy
"Aug 3, 2023, 3:52:49 AM",post-high 5 power stance 🤘
"Aug 5, 2023, 9:18:44 PM",hell yeah brotha
"Aug 6, 2023, 11:32:13 AM",nice job!!
